id_code|clean_code|Description|parent_description
2|10011|LIVE ANIMALS; ANIMAL PRODUCTS|LIVE ANIMALS
3|10021|LIVE ANIMALS|LIVE ANIMALS
4|10100|Live horses, asses, mules and hinnies|LIVE ANIMALS
6|10121|Pure-bred breeding horses|LIVE ANIMALS
7|10129|Live horses (excl. pure-bred for breeding)|LIVE ANIMALS
8|10130|Live asses|LIVE ANIMALS
9|10190|Live mules and hinnies|LIVE ANIMALS
10|10200|Live bovine animals|LIVE ANIMALS
12|10221|Pure-bred cattle for breeding|LIVE ANIMALS
13|10229|Live cattle (excl. pure-bred for breeding)|LIVE ANIMALS
15|10231|Pure-bred buffalo for breeding|LIVE ANIMALS
16|10239|Live buffalo (excl. pure-bred for breeding)|LIVE ANIMALS
17|10290|Live bovine animals (excl. cattle and buffalo)|LIVE ANIMALS
18|10300|Live swine|LIVE ANIMALS
19|10310|Pure-bred breeding swine|LIVE ANIMALS
21|10391|Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)|LIVE ANIMALS
22|10392|Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)|LIVE ANIMALS
23|10400|Live sheep and goats|LIVE ANIMALS
24|10410|Live sheep|LIVE ANIMALS
25|10420|Live goats|LIVE ANIMALS
26|10500|"Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"""|LIVE ANIMALS
28|10511|Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)|LIVE ANIMALS
29|10512|Live domestic turkeys, weighing <= 185 g|LIVE ANIMALS
30|10513|Live domestic ducks, weighing <= 185 g|LIVE ANIMALS
31|10514|Live domestic geese, weighing <= 185 g|LIVE ANIMALS
32|10515|Live domestic guinea fowls, weighing <= 185 g|LIVE ANIMALS
34|10594|Live fowls of the species Gallus domesticus, weighing > 185|LIVE ANIMALS
35|10599|Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g|LIVE ANIMALS
36|10600|Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)|LIVE ANIMALS
38|10611|Live primates|LIVE ANIMALS
39|10612|Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)|LIVE ANIMALS
40|10613|Live camels and other camelids [Camelidae]|LIVE ANIMALS
41|10614|Live rabbits and hares|LIVE ANIMALS
42|10619|Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)|LIVE ANIMALS
43|10620|"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""|LIVE ANIMALS
45|10631|Live birds of prey|LIVE ANIMALS
46|10632|"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""|LIVE ANIMALS
47|10633|Live ostriches, and emus [Dromaius novaehollandiae]|LIVE ANIMALS
48|10639|Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)|LIVE ANIMALS
50|10641|Live bees|LIVE ANIMALS
51|10649|Live insects (excl. bees)|LIVE ANIMALS
52|10690|Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)|LIVE ANIMALS
53|20021|MEAT AND EDIBLE MEAT OFFAL|MEAT AND EDIBLE MEAT OFFAL
54|20100|Meat of bovine animals, fresh or chilled|MEAT AND EDIBLE MEAT OFFAL
55|20110|Carcases or half-carcases of bovine animals, fresh or chilled|MEAT AND EDIBLE MEAT OFFAL
56|20120|Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)|MEAT AND EDIBLE MEAT OFFAL
57|20130|Fresh or chilled bovine meat, boneless|MEAT AND EDIBLE MEAT OFFAL
58|20200|Meat of bovine animals, frozen|MEAT AND EDIBLE MEAT OFFAL
59|20210|Frozen bovine carcases and half-carcases|MEAT AND EDIBLE MEAT OFFAL
60|20220|Frozen bovine cuts, with bone in (excl. carcases and half-carcases)|MEAT AND EDIBLE MEAT OFFAL
61|20230|Frozen, boneless meat of bovine animals|MEAT AND EDIBLE MEAT OFFAL
62|20300|Meat of swine, fresh, chilled or frozen|MEAT AND EDIBLE MEAT OFFAL
64|20311|Fresh or chilled carcases and half-carcases of swine|MEAT AND EDIBLE MEAT OFFAL
65|20312|Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in|MEAT AND EDIBLE MEAT OFFAL
66|20319|Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)|MEAT AND EDIBLE MEAT OFFAL
68|20321|Frozen carcases and half-carcases of swine|MEAT AND EDIBLE MEAT OFFAL
69|20322|Frozen hams, shoulders and cuts thereof of swine, with bone in|MEAT AND EDIBLE MEAT OFFAL
70|20329|Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)|MEAT AND EDIBLE MEAT OFFAL
71|20400|Meat of sheep or goats, fresh, chilled or frozen|MEAT AND EDIBLE MEAT OFFAL
