id_country|alpha-3|country|region|sub-region
1|AFG|Afghanistan|Asia|Southern Asia
2|ALB|Albania|Europe|Southern Europe
3|DZA|Algeria|Africa|Northern Africa
4|AND|Andorra|Europe|Southern Europe
5|AGO|Angola|Africa|Sub-Saharan Africa
6|ATG|Antigua and Barbuda|Americas|Latin America and the Caribbean
7|ARG|Argentina|Americas|Latin America and the Caribbean
8|ARM|Armenia|Asia|Western Asia
9|AUS|Australia|Oceania|Australia and New Zealand
10|AUT|Austria|Europe|Western Europe
11|AZE|Azerbaijan|Asia|Western Asia
12|BHS|Bahamas|Americas|Latin America and the Caribbean
13|BHR|Bahrain|Asia|Western Asia
14|BGD|Bangladesh|Asia|Southern Asia
15|BRB|Barbados|Americas|Latin America and the Caribbean
16|BLR|Belarus|Europe|Eastern Europe
17|BEL|Belgium|Europe|Western Europe
18|BLZ|Belize|Americas|Latin America and the Caribbean
19|BEN|Benin|Africa|Sub-Saharan Africa
20|BTN|Bhutan|Asia|Southern Asia
21|BOL|Bolivia|Americas|Latin America and the Caribbean
23|BWA|Botswana|Africa|Sub-Saharan Africa
24|BRA|Brazil|Americas|Latin America and the Caribbean
26|BGR|Bulgaria|Europe|Eastern Europe
27|BFA|Burkina Faso|Africa|Sub-Saharan Africa
28|BDI|Burundi|Africa|Sub-Saharan Africa
29|KHM|Cambodia|Asia|South-eastern Asia
30|CMR|Cameroon|Africa|Sub-Saharan Africa
31|CAN|Canada|Americas|Northern America
33|CAF|Central African Republic|Africa|Sub-Saharan Africa
34|TCD|Chad|Africa|Sub-Saharan Africa
35|CHL|Chile|Americas|Latin America and the Caribbean
36|CHN|China|Asia|Eastern Asia
37|COL|Colombia|Americas|Latin America and the Caribbean
38|COM|Comoros|Africa|Sub-Saharan Africa
41|CRI|Costa Rica|Americas|Latin America and the Caribbean
42|HRV|Croatia|Europe|Southern Europe
43|CUB|Cuba|Americas|Latin America and the Caribbean
44|CYP|Cyprus|Asia|Western Asia
45|CZE|Czech Republic|Europe|Eastern Europe
46|DNK|Denmark|Europe|Northern Europe
47|DJI|Djibouti|Africa|Sub-Saharan Africa
48|DMA|Dominica|Americas|Latin America and the Caribbean
49|DOM|Dominican Republic|Americas|Latin America and the Caribbean
51|ECU|Ecuador|Americas|Latin America and the Caribbean
52|EGY|Egypt|Africa|Northern Africa
53|SLV|El Salvador|Americas|Latin America and the Caribbean
54|GNQ|Equatorial Guinea|Africa|Sub-Saharan Africa
55|ERI|Eritrea|Africa|Sub-Saharan Africa
56|EST|Estonia|Europe|Northern Europe
57|ETH|Ethiopia|Africa|Sub-Saharan Africa
58|FJI|Fiji|Oceania|Melanesia
59|FIN|Finland|Europe|Northern Europe
60|FRA|France|Europe|Western Europe
61|GAB|Gabon|Africa|Sub-Saharan Africa
63|GEO|Georgia|Asia|Western Asia
64|DEU|Germany|Europe|Western Europe
65|GHA|Ghana|Africa|Sub-Saharan Africa
66|GRC|Greece|Europe|Southern Europe
67|GRD|Grenada|Americas|Latin America and the Caribbean
68|GTM|Guatemala|Americas|Latin America and the Caribbean
69|GIN|Guinea|Africa|Sub-Saharan Africa
71|GUY|Guyana|Americas|Latin America and the Caribbean
72|HTI|Haiti|Americas|Latin America and the Caribbean
73|HND|Honduras|Americas|Latin America and the Caribbean
74|HUN|Hungary|Europe|Eastern Europe
75|ISL|Iceland|Europe|Northern Europe
76|IND|India|Asia|Southern Asia
77|IDN|Indonesia|Asia|South-eastern Asia
78|IRN|Iran|Asia|Southern Asia
79|IRQ|Iraq|Asia|Western Asia
80|IRL|Ireland|Europe|Northern Europe
81|ISR|Israel|Asia|Western Asia
82|ITA|Italy|Europe|Southern Europe
84|JAM|Jamaica|Americas|Latin America and the Caribbean
85|JPN|Japan|Asia|Eastern Asia
86|JOR|Jordan|Asia|Western Asia
87|KAZ|Kazakhstan|Asia|Central Asia
88|KEN|Kenya|Africa|Sub-Saharan Africa
89|KIR|Kiribati|Oceania|Micronesia
91|PRK|South Korea|Asia|Eastern Asia
92|KWT|Kuwait|Asia|Western Asia
93|KGZ|Kyrgyzstan|Asia|Central Asia
94|LAO|Laos|Asia|South-eastern Asia
95|LVA|Latvia|Europe|Northern Europe
96|LBN|Lebanon|Asia|Western Asia
97|LSO|Lesotho|Africa|Sub-Saharan Africa
98|LBR|Liberia|Africa|Sub-Saharan Africa
99|LBY|Libya|Africa|Northern Africa
100|LIE|Liechtenstein|Europe|Western Europe
101|LTU|Lithuania|Europe|Northern Europe
102|LUX|Luxembourg|Europe|Western Europe
103|MKD|Macedonia|Europe|Southern Europe
104|MDG|Madagascar|Africa|Sub-Saharan Africa
105|MWI|Malawi|Africa|Sub-Saharan Africa
106|MYS|Malaysia|Asia|South-eastern Asia
107|MDV|Maldives|Asia|Southern Asia
108|MLI|Mali|Africa|Sub-Saharan Africa
109|MLT|Malta|Europe|Southern Europe
110|MHL|Marshall Islands|Oceania|Micronesia
111|MRT|Mauritania|Africa|Sub-Saharan Africa
112|MUS|Mauritius|Africa|Sub-Saharan Africa
113|MEX|Mexico|Americas|Latin America and the Caribbean
115|MDA|Moldova|Europe|Eastern Europe
116|MCO|Monaco|Europe|Western Europe
117|MNG|Mongolia|Asia|Eastern Asia
118|MNE|Montenegro|Europe|Southern Europe
119|MAR|Morocco|Africa|Northern Africa
120|MOZ|Mozambique|Africa|Sub-Saharan Africa
121|MMR|Myanmar|Asia|South-eastern Asia
122|NAM|Namibia|Africa|Sub-Saharan Africa
123|NRU|Nauru|Oceania|Micronesia
124|NPL|Nepal|Asia|Southern Asia
125|NLD|Netherlands|Europe|Western Europe
126|NZL|New Zealand|Oceania|Australia and New Zealand
127|NIC|Nicaragua|Americas|Latin America and the Caribbean
128|NER|Niger|Africa|Sub-Saharan Africa
129|NGA|Nigeria|Africa|Sub-Saharan Africa
130|NOR|Norway|Europe|Northern Europe
131|OMN|Oman|Asia|Western Asia
132|PAK|Pakistan|Asia|Southern Asia
133|PLW|Palau|Oceania|Micronesia
135|PAN|Panama|Americas|Latin America and the Caribbean
136|PNG|Papua New Guinea|Oceania|Melanesia
137|PRY|Paraguay|Americas|Latin America and the Caribbean
138|PER|Peru|Americas|Latin America and the Caribbean
139|PHL|Philippines|Asia|South-eastern Asia
140|POL|Poland|Europe|Eastern Europe
141|PRT|Portugal|Europe|Southern Europe
142|QAT|Qatar|Asia|Western Asia
143|ROU|Romania|Europe|Eastern Europe
144|RUS|Russia|Europe|Eastern Europe
145|RWA|Rwanda|Africa|Sub-Saharan Africa
146|KNA|Saint Kitts and Nevis|Americas|Latin America and the Caribbean
147|LCA|Saint Lucia|Americas|Latin America and the Caribbean
149|WSM|Samoa|Oceania|Polynesia
150|SMR|San Marino|Europe|Southern Europe
